State,TRU,Persons,Males,Females
Andaman and Nicobar Islands,Total,356152,192972,163180
Andaman and Nicobar Islands,Rural,239954,128961,110993
Andaman and Nicobar Islands,Urban,116198,64011,52187
Andhra Pradesh,Total,76210007,38527413,37682594
Andhra Pradesh,Rural,55401067,27937204,27463863
Andhra Pradesh,Urban,20808940,10590209,10218731
Arunachal Pradesh,Total,1097968,579941,518027
Arunachal Pradesh,Rural,870087,454680,415407
Arunachal Pradesh,Urban,227881,125261,102620
Assam,Total,26655528,13777037,12878491
Assam,Rural,23216288,11939945,11276343
Assam,Urban,3439240,1837092,1602148
Bihar,Total,82998509,43243795,39754714
Bihar,Rural,74316709,38594996,35721713
Bihar,Urban,8681800,4648799,4033001
Chandigarh,Total,900635,506938,393697
Chandigarh,Rural,92120,56816,35304
Chandigarh,Urban,808515,450122,358393
Chhattisgarh,Total,20833803,10474218,10359585
Chhattisgarh,Rural,16648056,8307443,8340613
Chhattisgarh,Urban,4185747,2166775,2018972
Dadra & Nagar Haveli,Total,220490,121666,98824
Dadra & Nagar Haveli,Rural,170027,91832,78195
Dadra & Nagar Haveli,Urban,50463,29834,20629
Daman & Diu,Total,158204,92512,65692
Daman & Diu,Rural,100856,63606,37250
Daman & Diu,Urban,57348,28906,28442
Goa,Total,1347668,687248,660420
Goa,Rural,677091,340545,336546
Goa,Urban,670577,346703,323874
Gujarat,Total,50671017,26385577,24285440
Gujarat,Rural,31740767,16317771,15422996
Gujarat,Urban,18930250,10067806,8862444
Haryana,Total,21144564,11363953,9780611
Haryana,Rural,15029260,8052988,6976272
Haryana,Urban,6115304,3310965,2804339
Himachal Pradesh,Total,6077900,3087940,2989960
Himachal Pradesh,Rural,5482319,2756073,2726246
Himachal Pradesh,Urban,595581,331867,263714
Jammu & Kashmir,Total,10143700,5360926,4782774
Jammu & Kashmir,Rural,7627062,3977652,3649410
Jammu & Kashmir,Urban,2516638,1383274,1133364
Jharkhand,Total,26945829,13885037,13060792
Jharkhand,Rural,20952088,10679596,10272492
Jharkhand,Urban,5993741,3205441,2788300
Karnataka,Total,52850562,26898918,25951644
Karnataka,Rural,34889033,17648958,17240075
Karnataka,Urban,17961529,9249960,8711569
Kerala,Total,31841374,15468614,16372760
Kerala,Rural,23574449,11451282,12123167
Kerala,Urban,8266925,4017332,4249593
Lakshadweep,Total,60650,31131,29519
Lakshadweep,Rural,33683,17191,16492
Lakshadweep,Urban,26967,13940,13027
Madhya Pradesh,Total,60348023,31443652,28904371
Madhya Pradesh,Rural,44380878,23031093,21349785
Madhya Pradesh,Urban,15967145,8412559,7554586
Maharastra,Total,96878627,50400596,46478031
Maharastra,Rural,55777647,28458677,27318970
Maharastra,Urban,41100980,21941919,19159061
Manipur,Total,2293896,1161952,1131944
Manipur,Rural,1590820,808953,781867
Manipur,Urban,575968,286681,289287
Meghalaya,Total,2318822,1176087,1142735
Meghalaya,Rural,1864711,946999,917712
Meghalaya,Urban,454111,229088,225023
Mizoram,Total,888573,459109,429464
Mizoram,Rural,447567,232726,214841
Mizoram,Urban,441006,226383,214623
Nagaland,Total,1990036,1047141,942895
Nagaland,Rural,1647249,859716,787533
Nagaland,Urban,342787,187425,155362
NCT of Delhi,Total,13850507,7607234,6243273
NCT of Delhi,Rural,944727,522087,422640
NCT of Delhi,Urban,12905780,7085147,5820633
Orissa,Total,36804660,18660570,18144090
Orissa,Rural,31287422,15748970,15538452
Orissa,Urban,5517238,2911600,2605638
Puducherry,Total,974345,486961,487384
Puducherry,Rural,325726,163703,162023
Puducherry,Urban,648619,323258,325361
Punjab,Total,24358999,12985045,11373954
Punjab,Rural,16096488,8516596,7579892
Punjab,Urban,8262511,4468449,3794062
Rajasthan,Total,56507188,29420011,27087177
Rajasthan,Rural,43292813,22426640,20866173
Rajasthan,Urban,13214375,6993371,6221004
Sikkim,Total,540851,288484,252367
Sikkim,Rural,480981,255774,225207
Sikkim,Urban,59870,32710,27160
Tamil Nadu,Total,62405679,31400909,31004770
Tamil Nadu,Rural,34921681,17531494,17390187
Tamil Nadu,Urban,27483998,13869415,13614583
Tripura,Total,3199203,1642225,1556978
Tripura,Rural,2653453,1363638,1289815
Tripura,Urban,545750,278587,267163
Uttar Pradesh,Total,166197921,87565369,78632552
Uttar Pradesh,Rural,131658339,69157470,62500869
Uttar Pradesh,Urban,34539582,18407899,16131683
Uttarakhand,Total,8489349,4325924,4163425
Uttarakhand,Rural,6310275,3144590,3165685
Uttarakhand,Urban,2179074,1181334,997740
West Bengal,Total,80176197,41465985,38710212
West Bengal,Rural,57748946,29616009,28132937
West Bengal,Urban,22427251,11849976,10577275
